Gilmore Girls,Drama
Gossip Girl,Drama
The Vampire Diaries,Drama
Riverdale,Teen Drama
Control-Z,Thriller
Inside Job,Documentary
Gossip Girl,Teen Drama
Friends,Comedy
Virgin River,Drama
Casas de papel,Thriller
South Park,Comedy
Breaking Bad,Crime
Supernatural,Fantasy
La Rosa de Guadalupe,Soap Opera
Yellowstone,Western
Club de Cuervos,Drama
Suits,Drama
El Señor de los Cielos,Drama
Arcane,Anime
Brooklyn Nine-Nine,Comedy
The Boys,Action
Invincible,Superhero
Enchanted,Musical Comedy
La Casa De Papel,Crime
Modern Family,Comedy
Ginny & Georgia,Teen Drama
Love Alarm,Romance
Emily Dickinson,Biography
Bridgerton,Romance
The Glory,Drama
Alice in Borderlands,Mystery
Rick and Morty,Science Fiction Comedy
Avatar: The Legend of Aang,Fantasy
Stranger Things,Science Fiction
The Office,Comedy
The Flash,Superhero
How I Met Your Mother,Comedy
Invincible,Superhero
Black Mirror,Science Fiction
3-Body Problem,Science Fiction
La Gloria,Drama
Reign,Historical Drama
Severance,Mystery
Malcolm in the Middle,Comedy
The Boys,Action
The Office,Comedy
Stranger Things,Science Fiction
The Walking Dead,Horror
The Last of Us,Drama
The Big Bang Theory,Comedy
The Nanny,Comedy
Mr. Robot,Thriller
My Demon,Horror
Anne with an E,Period Drama
How to Train Your Dragon,Adventure
Your Name,Biography
Goblin,Fantasy
Atlanta,Drama
The Vince Staples Show,Comedy
Hora-de-Aventura,Adventure
Smiling Friends,Comedy
Full Metal Alchemist: Brotherhood,Fantasy
Peaky Blinders,Crime Drama
Cyberpunk: Edgerunners,Science Fiction
Family Guy,Comedy
Solo-Leveling,Action
The Mandalorian,Science Fiction
Moon Knight,Action
Tragones-y-Mazmorras,Fantasy
Lupin III,Action
Tiger & Bunny,Superhero
Sex And The City,Comedy
Chilling Adventures of Sabrina,Horror
Derry Girls,Comedy
Dark,Mystery
Twin Peaks,Mystery
Lost,Science Fiction
Vikings,Action
Better Call Saul,Crime Drama
The Flash,Superhero
Club-de-Cuervos,Comedy
Friends,Comedy
Violet Evergarden,Drama
Está-bien-No-estar-bien,Comedy
Breaking Bad,Crime
The Sopranos,Drama
Better Call Saul,Crime Drama
Shadow and Bone,Fantasy
Problema-de-los-tres-cuerpos,Mystery
Pirates of the Caribbean,Adventure
Finding Nemo,Animation
La Ila Siniestra,Thriller
Un-pequeño-Favor,Comedy
Interstellar,Science Fiction
Gone Girl,Thriller
Teléfono-Negro,Thriller
The Submarine,Drama
Clueless,Comedy
Something's Gotta Give,Romantic Comedy
Princess Diaries 2,Comedy
Juego de Gemelas,Soap Opera
Interstellar,Science Fiction
Coraline,Fantasy
Insidious,Horror
Dune,Science Fiction
Nosferatu,Horror
The Neon Demon,Horror
The Hunger Games,Drama
Black Swan,Drama
Fantasia,Musical
Twilight,Fantasy
Yo-Yo-antes-de-Ti,Romance
Interstellar,Science Fiction
Avatar,Science Fiction
Shadowhunters,Fantasy
Inception,Action
La-La-Land,Romantic Musical
Oppenheimer,Biography
El Efecto Mariposa,Drama
La-La Land,Musical
Shrek,Comedy
Juego de gemelas,Soap Opera
Pride and Prejudice,Romance
Mulan,Action
Parasite,Black Comedy
Superbad,Comedy
Jojo Rabbit,Comedy
Back to the Future,Science Fiction
Jurassic Park,Science Fiction
La La Land,Romantic Musical
Saltburn,Drama
The Hunger Games,Science Fiction
El Hobbit: Un viaje inesperado,Fantasy
El Hobbit,Fantasy
El Hobbit: La Batalla de los Cinco Ejércitos,Fantasy
Get Out,Thriller
Whiplash,Drama
Karate Kid,Comedy
Waves,Drama
Django Unchained,Western
Blade Runner,Science Fiction
Interstellar,Science Fiction
The Truman Show,Satire
The Lord of the Rings: The Return of the King,Fantasy
Inglourious Basterds,War
Amarte-Duele,Romance
El Padrino,Crime
Scott Pilgrim vs. the World,Comedy
Gladiator,Action
Cars (2006),Animation
Pretty Woman,Romantic Comedy
The Proposal,Romantic Comedy
Juego de Amor y Fidelidad,Romance
Bram Stoker's Dracula,Horror
Donnie Darko,Mystery
La Chica del Dragón Tatuado,Action
Requiem for a Dream,Drama
Scott Pilgrim vs. the World,Comedy
Ponyo,Anime
Aniquilación,Action
Tron: Legacy,Science Fiction
Son como niños,Comedy
Amores Perros,Drama
Son Como None,Comedy
Sangre-sudor-y-gloria,Drama
Rendirse jamás,Drama
Alerta-en-lo-profundo,Documentary
El-infierno,Drama
Como-Entrenar-a-tu-Dragón,Fantasy
Juego de Honor,Action
Whisper of the Heart,Romance
Howl's Moving Castle,Fantasy
Arrietty,Fantasy
A-Wisker-Away,Fantasy
Gladiator,Action
Click,Comedy
Donde Están Las Rubias,Comedy
La Era de Hielo,Comedy
La ley de Herodes,Thriller
Untouchable,Crime
Rocky & Bullwinkle,Comedy
